album_name,song_title,singers,star_cast,music_director,director,year,thumbnail_url,download_link
-Akhanda 2,The Thaandavam,"Shankar Mahadevan, Kailash Kher, Deepak Blue","-Balakrishna, Samyuktha Menon",-SS Thaman,-Boyapati Srinu,,https://sensongsmp3.live/wp-content/uploads/2025/06/Akhanda-2-2025.jpg,https://mp3teluguwap.net/mp3/2025/Akhanda%202%20(2025)/Akhanda%202%20(2025)%20-%20HQ/The%20Thaandavam.mp3
-Akhanda 2,Jajikaya Jajikaya,"Shreya Ghoshal, Brijesh Shandiliya","-Balakrishna, Samyuktha Menon",-SS Thaman,-Boyapati Srinu,,https://sensongsmp3.live/wp-content/uploads/2025/06/Akhanda-2-2025.jpg,https://mp3teluguwap.net/mp3/2025/Akhanda%202%20(2025)/Akhanda%202%20(2025)%20-%20HQ/Jajikaya%20Jajikaya.mp3
-Akhanda 2,Akhanda Thandavam,Sarvepalli Sisters,"-Balakrishna, Samyuktha Menon",-SS Thaman,-Boyapati Srinu,,https://sensongsmp3.live/wp-content/uploads/2025/06/Akhanda-2-2025.jpg,https://mp3teluguwap.net/mp3/2025/Akhanda%202%20(2025)/Akhanda%202%20(2025)%20-%20HQ/Akhanda%20Thandavam.mp3
-Akhanda 2,Gangadhara Shankara,"S. Aishwarya, S. Soundarya & Sruthi Ranjani","-Balakrishna, Samyuktha Menon",-SS Thaman,-Boyapati Srinu,,https://sensongsmp3.live/wp-content/uploads/2025/06/Akhanda-2-2025.jpg,https://mp3teluguwap.net/mp3/2025/Akhanda%202%20(2025)/Akhanda%202%20(2025)%20-%20HQ/Gangadhara%20Shankara.mp3
-Akhanda 2,Shiva Shiva,"Gotte Kanakavva, Sruthi Ranjani","-Balakrishna, Samyuktha Menon",-SS Thaman,-Boyapati Srinu,,https://sensongsmp3.live/wp-content/uploads/2025/06/Akhanda-2-2025.jpg,https://mp3teluguwap.net/mp3/2025/Akhanda%202%20(2025)/Akhanda%202%20(2025)%20-%20HQ/Shiva%20Shiva.mp3
-Akhanda 2,Hara Hara,"SP Charan, Sri Krishna","-Balakrishna, Samyuktha Menon",-SS Thaman,-Boyapati Srinu,,https://sensongsmp3.live/wp-content/uploads/2025/06/Akhanda-2-2025.jpg,https://mp3teluguwap.net/mp3/2025/Akhanda%202%20(2025)/Akhanda%202%20(2025)%20-%20HQ/Hara%20Hara.mp3
-Akhanda 2,Shankara Shankara,"V. M. Mahalingam, Divya Kumar, Deepak Blue, Arun Kaundinya","-Balakrishna, Samyuktha Menon",-SS Thaman,-Boyapati Srinu,,https://sensongsmp3.live/wp-content/uploads/2025/06/Akhanda-2-2025.jpg,https://mp3teluguwap.net/mp3/2025/Akhanda%202%20(2025)/Akhanda%202%20(2025)%20-%20HQ/Shankara%20Shankara.mp3
-Akhanda 2,Shambho,"Adviteeya Vojjala, S. Aishwarya & S. Soundarya","-Balakrishna, Samyuktha Menon",-SS Thaman,-Boyapati Srinu,,https://sensongsmp3.live/wp-content/uploads/2025/06/Akhanda-2-2025.jpg,https://mp3teluguwap.net/mp3/2025/Akhanda%202%20(2025)/Akhanda%202%20(2025)%20-%20HQ/Shambho.mp3
-Akhanda 2,Akhanda Haindhavam,Sarvepalli Sisters,"-Balakrishna, Samyuktha Menon",-SS Thaman,-Boyapati Srinu,,https://sensongsmp3.live/wp-content/uploads/2025/06/Akhanda-2-2025.jpg,https://mp3teluguwap.net/mp3/2025/Akhanda%202%20(2025)/Akhanda%202%20(2025)%20-%20HQ/Akhanda%20Haindhavam.mp3
-Akhanda 2,Akhanda Haindhavam,Sarvepalli Sisters,"-Balakrishna, Samyuktha Menon",-SS Thaman,-Boyapati Srinu,,https://sensongsmp3.live/wp-content/uploads/2025/06/Akhanda-2-2025.jpg,https://mp3teluguwap.net/mp3/2025/Akhanda%202%20(2025)/Akhanda%202%20(2025)%20-%20HQ.zip
-Andhra King Taluka,Nuvvunte Chaley,,"-Ram Pothineni, Bhagya Shri Borse, Upendra",-Vivek – Mervin,-P. Mahesh Babu,,https://sensongsmp3.live/wp-content/uploads/2025/03/Andhra-King-Teluka-2025-Songs.jpg,https://mp3teluguwap.net/mp3/2025/Ak%20Thaluka/Nuvvunte%20Chaley.mp3
-Andhra King Taluka,Puppy Shame,,"-Ram Pothineni, Bhagya Shri Borse, Upendra",-Vivek – Mervin,-P. Mahesh Babu,,https://sensongsmp3.live/wp-content/uploads/2025/03/Andhra-King-Teluka-2025-Songs.jpg,https://mp3teluguwap.net/mp3/2025/Andra%20King%20Thaluka/Puppy%20Shame.mp3
-Andhra King Taluka,Chinni Gundelo,,"-Ram Pothineni, Bhagya Shri Borse, Upendra",-Vivek – Mervin,-P. Mahesh Babu,,https://sensongsmp3.live/wp-content/uploads/2025/03/Andhra-King-Teluka-2025-Songs.jpg,https://mp3teluguwap.net/mp3/2025/Andra%20King%20Thaluka/Chinni%20Gundelo.mp3
-Andhra King Taluka,First Day First Show,,"-Ram Pothineni, Bhagya Shri Borse, Upendra",-Vivek – Mervin,-P. Mahesh Babu,,https://sensongsmp3.live/wp-content/uploads/2025/03/Andhra-King-Teluka-2025-Songs.jpg,https://mp3teluguwap.net/mp3/2025/Andra%20King%20Thaluka/First%20Day%20First%20Show.mp3
-Andhra King Taluka,Untold Emotions,,"-Ram Pothineni, Bhagya Shri Borse, Upendra",-Vivek – Mervin,-P. Mahesh Babu,,https://sensongsmp3.live/wp-content/uploads/2025/03/Andhra-King-Teluka-2025-Songs.jpg,https://mp3teluguwap.net/mp3/2025/Andra%20King%20Thaluka/Untold%20Emotions.mp3
-Andhra King Taluka,Chalu,,"-Ram Pothineni, Bhagya Shri Borse, Upendra",-Vivek – Mervin,-P. Mahesh Babu,,https://sensongsmp3.live/wp-content/uploads/2025/03/Andhra-King-Teluka-2025-Songs.jpg,https://mp3teluguwap.net/mp3/2025/Andra%20King%20Thaluka/Chalu.mp3
-Andhra King Taluka,Padu Padu,,"-Ram Pothineni, Bhagya Shri Borse, Upendra",-Vivek – Mervin,-P. Mahesh Babu,,https://sensongsmp3.live/wp-content/uploads/2025/03/Andhra-King-Teluka-2025-Songs.jpg,https://mp3teluguwap.net/mp3/2025/Andra%20King%20Thaluka/Padu%20Padu.mp3
-Anaganaga Oka Raju,Bhimavaram Balma,,"-Naveen Polishetty, Meenakshi Chaudhary",-Mickey J Meyer,-Maari,,https://sensongsmp3.live/wp-content/uploads/2025/09/Anaganaga-Oka-Raju-2025-Songs.jpg,https://mp3teluguwap.net/mp3/2025/Anaganaga%20Oka%20Roju/Bhimavaram%20Balma.mp3
-Alcohol,Alcohol BGM,,"-Allari Naresh, Ruhani Sharma",-Ghibran,-Meher Tej,,https://sensongsmp3.live/wp-content/uploads/2025/11/Alcohol-movie-songs.jpg,
-Arjun s/o Vyjayanthi,Nayaaldhi,,"-Kalyan Ram, Vijaya Shanthi, Saiee M Manjrekar",-B. Ajneesh Loknath,-Pradeep Chilukuri,,https://sensongsmp3.live/wp-content/uploads/2025/03/Arjun-Son-of-Vyjayanthi-2025.jpg,https://mp3teluguwap.net/mp3/2025/Arjun%20Son%20of%20Vyjayanthi/Nayaaldhi.mp3
-Arjun s/o Vyjayanthi,Muchataga Bandhaale,,"-Kalyan Ram, Vijaya Shanthi, Saiee M Manjrekar",-B. Ajneesh Loknath,-Pradeep Chilukuri,,https://sensongsmp3.live/wp-content/uploads/2025/03/Arjun-Son-of-Vyjayanthi-2025.jpg,https://mp3teluguwap.net/mp3/2025/Arjun%20Son%20of%20Vyjayanthi/Muchataga%20Bandhaale.mp3
-Akkada Ammayi Ikkada Abbayi,Le Le Le Le,,"-Pradeep Machiraju, Deepika Pilli",-Radhan,-Nitin – Bharath,,https://sensongsmp3.live/wp-content/uploads/2024/12/Akkada-Ammayi-Ikkada-Abbayi-2024.jpg,
-ARM,Ambaraala Veedhilo,,"-Tovino Thomas, Krithi Shetty",-Dhibu Ninan Thomas,-Jithin Laal,,https://sensongsmp3.live/wp-content/uploads/2024/11/ARM-Songs.jpg,https://mp3teluguwap.net/mp3/2024/ARM/Ambaraala%20Veedhilo.mp3
-ARM,Ambaraala Veedhilo,,"-Tovino Thomas, Krithi Shetty",-Dhibu Ninan Thomas,-Jithin Laal,,https://sensongsmp3.live/wp-content/uploads/2024/11/ARM-Songs.jpg,https://mp3teluguwap.net/mp3/2024/ARM/Ambaraala%20Veedhilo%20Tone.mp3
-Appudo Ippudo Eppudo,Hey Taara,,"-Nikhil, Rukmini Vasanth",-Karthik,-Sudheer Varma,,https://sensongsmp3.live/wp-content/uploads/2024/10/Appudo-Ippudo-Eppudo-2024.jpg,https://mp3teluguwap.net/mp3/2024/Appudo%20Ippudo%20yeppudo/1-Hey%20Taara.mp3
-Appudo Ippudo Eppudo,Neetho Ila,,"-Nikhil, Rukmini Vasanth",-Karthik,-Sudheer Varma,,https://sensongsmp3.live/wp-content/uploads/2024/10/Appudo-Ippudo-Eppudo-2024.jpg,https://mp3teluguwap.net/mp3/2024/Appudo%20Ippudo%20yeppudo/Neetho%20Ila.mp3
-Aa Okkati Adakku,Oh Madam,,"-Allari Naresh, Faria Abdullah",-Gopi Sunder,-Malli Ankam,,https://sensongsmp3.live/wp-content/uploads/2024/03/Aa-Okkati-Adakku-2024-songs.jpg,https://mp3teluguwap.net/mp3/2024/Aa%20Okkati%20Adakku/Oh%20Madam.mp3
-Aay,Sufiyana,,"-Narne Nithin, Nayan Sarika",-Ram Miriyala,-Anji Kanchipalii,,https://sensongsmp3.live/wp-content/uploads/2024/03/Aay-2024.jpg,
-Aadikeshava,Sittharala Sithravathi,"Rahul Sipligunj, Ramya Behara","-Vaishnav Tej, Shree Leela",-G V Prakash Kumar,-Srikanth N. Reddy,,https://sensongsmp3.live/wp-content/uploads/2023/09/Aadikeshava-2023-songs-download-adikeshava-sreeleela.jpg,https://mp3teluguwap.net/mp3/2023/Adikeshava/Adikeshava%20-%20HQ/Sittharala%20Sithravathi.mp3
-Aadikeshava,Hey Bujji Bangaram,"Armaan Malik, Yamini Ghantasala","-Vaishnav Tej, Shree Leela",-G V Prakash Kumar,-Srikanth N. Reddy,,https://sensongsmp3.live/wp-content/uploads/2023/09/Aadikeshava-2023-songs-download-adikeshava-sreeleela.jpg,https://mp3teluguwap.net/mp3/2023/Adikeshava/Adikeshava%20-%20HQ/Hey%20Bujji%20Bangaram.mp3
-Aadikeshava,Leelammo,"Nakash Aziz, Indravathi Chauhan","-Vaishnav Tej, Shree Leela",-G V Prakash Kumar,-Srikanth N. Reddy,,https://sensongsmp3.live/wp-content/uploads/2023/09/Aadikeshava-2023-songs-download-adikeshava-sreeleela.jpg,https://mp3teluguwap.net/mp3/2023/Adikeshava/Adikeshava%20-%20HQ/Leelammo.mp3
-Ahimsa,Neethoney Neethoney,,"-Abhiram Daggubati, Geethika Tiwary",-RP Patnaik,-Teja,,https://sensongsmp3.live/wp-content/uploads/2023/06/Ahimsa-2023-telugu-movie-songs.jpg,https://mp3teluguwap.net/mp3/2023/Ahimsa/Neethoney%20Neethoney.mp3
-Ahimsa,Kammaguntadhey,,"-Abhiram Daggubati, Geethika Tiwary",-RP Patnaik,-Teja,,https://sensongsmp3.live/wp-content/uploads/2023/06/Ahimsa-2023-telugu-movie-songs.jpg,https://mp3teluguwap.net/mp3/2023/Ahimsa/Kammaguntadhey.mp3
-Ahimsa,Ammesaaney,,"-Abhiram Daggubati, Geethika Tiwary",-RP Patnaik,-Teja,,https://sensongsmp3.live/wp-content/uploads/2023/06/Ahimsa-2023-telugu-movie-songs.jpg,https://mp3teluguwap.net/mp3/2023/Ahimsa/Ammesaaney.mp3
-Ahimsa,Vundhiley Vundhiley,,"-Abhiram Daggubati, Geethika Tiwary",-RP Patnaik,-Teja,,https://sensongsmp3.live/wp-content/uploads/2023/06/Ahimsa-2023-telugu-movie-songs.jpg,https://mp3teluguwap.net/mp3/2023/Ahimsa/Vundhiley%20Vundhiley.mp3
-Ahimsa,Yemo Yemo,,"-Abhiram Daggubati, Geethika Tiwary",-RP Patnaik,-Teja,,https://sensongsmp3.live/wp-content/uploads/2023/06/Ahimsa-2023-telugu-movie-songs.jpg,https://mp3teluguwap.net/mp3/2023/Ahimsa/Yemo%20Yemo.mp3
-Adipurush,Jai Shriram (Full Song),Ajay Atul,"-Prabhas, Kriti Sanon, Saif Ali Khan, Sunny Singh","-Ankit Balhara, Sanchit Balhara, Ajay Gogavale, Atul Gogavale",-Om Raut,,https://sensongsmp3.live/wp-content/uploads/2023/05/Adipurush-songs-download-2023-telugu-prabhash.jpg,https://mp3teluguwap.net/mp3/2023/Adipurush%20(2023)/Adipurush%20(2023)%20-%20HQ/Jai%20Shriram.mp3
-Adipurush,Ram Sita Ram,"Karthik, Sachet Tandon, Parampara Tandon","-Prabhas, Kriti Sanon, Saif Ali Khan, Sunny Singh","-Ankit Balhara, Sanchit Balhara, Ajay Gogavale, Atul Gogavale",-Om Raut,,https://sensongsmp3.live/wp-content/uploads/2023/05/Adipurush-songs-download-2023-telugu-prabhash.jpg,https://mp3teluguwap.net/mp3/2023/Adipurush%20(2023)/Adipurush%20(2023)%20-%20HQ/Ram%20Sita%20Ram.mp3
-Adipurush,Shivoham,Haricharan,"-Prabhas, Kriti Sanon, Saif Ali Khan, Sunny Singh","-Ankit Balhara, Sanchit Balhara, Ajay Gogavale, Atul Gogavale",-Om Raut,,https://sensongsmp3.live/wp-content/uploads/2023/05/Adipurush-songs-download-2023-telugu-prabhash.jpg,https://mp3teluguwap.net/mp3/2023/Adipurush%20(2023)/Adipurush%20(2023)%20-%20HQ/Shivoham.mp3
-Adipurush,Priya Mithunam,"Karthik, Shweta Mohan","-Prabhas, Kriti Sanon, Saif Ali Khan, Sunny Singh","-Ankit Balhara, Sanchit Balhara, Ajay Gogavale, Atul Gogavale",-Om Raut,,https://sensongsmp3.live/wp-content/uploads/2023/05/Adipurush-songs-download-2023-telugu-prabhash.jpg,https://mp3teluguwap.net/mp3/2023/Adipurush%20(2023)/Adipurush%20(2023)%20-%20HQ/Priya%20Mithunam.mp3
-Adipurush,Huppa Huiya,Sukhwinder Singh,"-Prabhas, Kriti Sanon, Saif Ali Khan, Sunny Singh","-Ankit Balhara, Sanchit Balhara, Ajay Gogavale, Atul Gogavale",-Om Raut,,https://sensongsmp3.live/wp-content/uploads/2023/05/Adipurush-songs-download-2023-telugu-prabhash.jpg,https://mp3teluguwap.net/mp3/2023/Adipurush%20(2023)/Adipurush%20(2023)%20-%20HQ/Huppa%20Huiya.mp3
